query_name,phase_reached,meta_is_incremental,actual_is_incremental,is_correct,time_select_ms,time_mv_ms,time_refresh_ms,time_verify_ms,error
query_0192,6,1,1,1,1.3942,1174.1,10.123,13.634,""
query_0193,6,1,1,1,1.2052,886.56,15.887,13.434,""
query_0194,6,1,1,1,1.2102,1129.9,18.886,16.032,""
query_0195,6,1,1,1,1.056,789.21,303.21,46.874,""
query_0196,6,1,1,1,1.7886,1118.6,523.88,25.491,""
query_0197,6,1,1,1,1.3042,1024.4,400.37,20.289,""
query_0198,6,1,1,1,1.1171,1248.3,425.63,74.527,""
query_0199,6,1,1,1,1.1059,937.88,372.19,47.185,""
query_0200,6,1,1,1,1.1002,850.35,483.29,44.924,""
query_0201,6,1,1,1,1.4532,1014,304.72,63.157,""
query_0202,6,1,1,1,7.1441,962.07,477.41,56.494,""
query_0203,6,1,1,1,4.6182,1008.6,453.84,28.877,""
query_0204,6,1,1,1,0.97725,878.33,453.32,78.031,""
query_0205,6,1,1,1,1.247,1209.2,358.08,66.846,""
query_0206,6,1,1,1,1.3275,903.78,413.52,59.247,""
query_0207,6,1,1,1,3.5429,1234.6,550.67,63.643,""
query_0208,6,1,1,1,1.1909,1001.9,431.59,70.299,""
query_0209,6,1,1,1,3.861,930.7,347.98,58.227,""
query_0210,6,1,1,1,1.2302,1161.8,376.06,53.132,""
query_0211,6,1,1,1,1.1065,908.32,446.2,40.195,""
query_0212,6,1,1,1,1.1986,835.26,374.93,52.989,""
query_0213,6,1,1,1,1.4461,997.21,468.87,53.271,""
query_0214,6,1,1,1,1.2348,1030.3,480.67,48.412,""
query_0215,6,1,1,1,1.2473,987.62,463.92,39.47,""
query_0216,6,1,1,1,1.1152,1137.3,17.487,41.429,""
query_0217,6,1,1,1,7.0185,979.72,20.525,58.552,""
query_0218,6,1,1,1,4.1553,1102.9,21.216,89.13,""
query_0219,6,1,1,1,1.2746,1065.3,18.601,59.133,""
query_0220,6,1,1,1,5.8212,1172.6,24.616,50.17,""
query_0221,6,1,1,1,4.2483,1124.1,36.957,39.611,""
query_0222,6,1,1,1,1.1565,915.45,19.513,60.504,""
query_0223,6,1,1,1,1.3619,1048.1,16.994,50.556,""
query_0224,6,1,1,1,6.9406,1074.5,20.042,53.45,""
query_0225,6,1,1,1,11.094,1042.4,17.18,53.082,""
query_0226,6,1,1,1,1.0484,1211.6,394.9,21.352,""
query_0227,6,1,1,1,1.2951,1335.1,447.72,21.809,""
query_0228,6,1,1,1,1.0579,801.83,374.23,22.139,""
query_0229,6,1,1,1,1.3704,1012,338.51,51.148,""
query_0230,6,1,1,1,2.5124,586.15,10.252,23.248,""
query_0231,6,1,1,1,1.4488,619.83,5.8615,38.351,""
query_0232,6,1,1,1,1.0023,603.21,8.1332,45.097,""
query_0233,6,1,1,1,1.1649,608.75,204.9,20.291,""
query_0234,6,1,1,1,0.98298,529.32,219.22,46.513,""
query_0235,6,1,1,1,1.1558,531.98,211.35,28.206,""
query_0236,6,1,1,1,1.6399,638.21,101.54,19.196,""
query_0237,6,1,1,1,0.73997,336.58,188.09,29.806,""
query_0238,6,1,1,1,1.0447,363.35,203.97,24.879,""
query_0239,6,1,1,1,1.31,405.28,169.19,24.152,""
query_0240,6,1,1,1,0.86153,385.4,108.92,19.879,""
query_0241,6,1,1,1,0.98865,382.79,128.92,14.791,""
query_0242,6,1,1,1,1.1894,622.13,199.02,14.752,""
query_0243,6,1,1,1,1.3862,643.87,176.16,22.465,""
query_0244,6,1,1,1,1.1077,710.29,145,16.424,""
query_0245,6,1,1,1,1.1874,482.09,159.66,16.901,""
query_0246,6,1,1,1,0.99533,514.24,5.7221,9.1799,""
query_0247,6,1,1,1,1.5493,311.57,3.613,6.566,""
query_0248,6,1,1,1,0.80378,321.68,4.1393,22.221,""
query_0249,6,1,1,1,0.93766,442.51,7.551,10.74,""
query_0250,6,1,1,1,0.94849,546.84,6.0512,16.132,""
query_0251,6,1,1,1,1.0645,596.09,5.9048,13.02,""
query_0252,6,1,1,1,0.96018,357.47,4.059,7.1442,""
query_0253,6,1,1,1,1.0145,332.28,8.6253,16.103,""
query_0254,6,1,1,1,0.85483,421.73,8.2031,11.562,""
query_0255,6,1,1,1,1.0703,593.5,4.9504,11.711,""
query_0256,6,1,1,1,0.63134,332.64,4.3954,7.7034,""
query_0257,6,1,1,1,1.0256,605.84,5.7671,10.292,""
query_0258,6,1,1,1,1.0995,578.89,6.5819,10.236,""
query_0259,6,1,1,1,1.0355,536.58,4.8123,8.3059,""
query_0260,6,1,1,1,1.2727,542.41,6.7958,7.2591,""
query_0261,6,1,1,1,1.1148,289.16,3.2356,7.7404,""
query_0262,6,1,1,1,1.1078,336.87,6.4823,13.528,""
query_0263,6,1,1,1,1.0102,535.39,7.7566,8.2419,""
query_0264,6,1,1,1,1.2459,568.45,7.3326,8.5252,""
query_0265,6,1,1,1,1.4275,574.83,5.8715,6.0716,""
query_0266,6,1,1,1,0.59095,394.71,5.8018,7.8689,""
query_0267,6,1,1,1,0.96178,564.61,6.0084,8.1923,""
query_0268,6,1,1,1,0.98502,555.22,5.1473,6.8536,""
query_0269,6,1,1,1,1.2424,622.38,7.7778,13.358,""
query_0270,6,1,1,1,1.4677,404.14,98.258,9.4741,""
query_0271,6,1,1,1,0.60578,345.13,100.97,14.432,""
query_0272,6,1,1,1,1.3269,281.08,77.196,9.5093,""
query_0273,6,1,1,1,0.81477,359.05,106.54,10.307,""
query_0274,6,1,1,1,0.99141,277.62,2.843,11.234,""
query_0275,6,1,1,1,0.62585,298.35,77.786,9.6956,""
query_0276,6,1,1,1,0.73292,254.28,72,5.611,""
query_0277,6,1,1,1,0.74099,290.8,77.326,7.8508,""
query_0278,6,1,1,1,0.86746,250.12,83.986,7.1337,""
query_0279,6,1,1,1,0.92319,286.79,102.92,6.5132,""
query_0280,6,1,1,1,0.75149,261.79,68.283,5.7839,""
query_0281,6,1,1,1,0.57773,213.56,74.087,7.7989,""
query_0282,6,1,1,1,0.7091,234.34,69.628,7.9584,""
query_0283,6,1,1,1,0.43774,219.68,99.823,8.9084,""
query_0284,6,1,1,1,0.52723,237.06,81.465,6.9809,""
query_0285,6,1,1,1,0.69631,217.68,65.258,4.284,""
query_0286,6,1,1,1,0.55787,205.17,56.385,3.5411,""
